시점	국고채|잔액	환율|달러	통화량|M2	KOSDAQ|거래대금	KOSDAQ|종가	KOSPI|거래대금	KOSPI|종가	경기종합지수|동행지수순환변동치	경기종합지수|선행지수순환변동치	제조업|가동률	제조업|재고율	설비투자지수	수출|금액지수	수출|물량지수	순상품교역조건지수	기업경기실사지수|수출전망	기업경기실사지수|업황전망	기업경기실사지수|가동률전망	경제심리지수	실업률	고용률	소비자물가지수	생산자물가지수
200301	55755.2	1170.1	880711.8				591.86	101.2	100.1	77.6	75.916	49.0	32.16	27.79	161.96				96.0	3.3	59.7	68.835	76.45
200302	55880.2	1193.7	883636.2				575.43	100.7	99.9	78.1	77.557	58.5	31.24	26.49	159.67				96.0	3.2	59.6	69.213	76.86
200303	56930.2	1254.6	890072.4				535.7	100.4	99.6	78.1	78.437	57.2	35.26	29.55	157.59				96.0	3.3	59.5	70.034	77.61
200304	58040.2	1215.3	888479.9				599.35	99.8	99.2	77.7	80.58	54.2	35.27	29.88	158.0				96.4	3.4	59.2	69.908	77.22
200305	58278.3	1205.9	885239.5				633.42	99.7	99.0	76.0	80.458	52.3	33.72	29.35	160.19				97.0	3.6	59.2	69.782	76.79
200306	60128.3	1193.0	885850.4				669.93	99.8	99.3	77.9	78.959	54.9	34.84	30.32	160.5				97.9	3.6	59.2	69.592	76.42
200307	62628.3	1179.7	888388.6				713.52	99.7	99.3	73.4	82.623	51.4	35.66	30.9	160.08				98.8	3.7	59.4	69.53	76.56
200308	64583.3	1178.2	890778.8				759.47	99.8	99.7	77.5	79.584	52.3	35.11	30.24	159.4				99.8	3.6	59.3	69.845	76.84
200309	67163.3	1150.1	892712.8				697.52	99.8	99.9	78.2	76.476	55.7	39.14	33.46	159.14				100.8	3.7	59.2	70.477	77.16
200310	71638.3	1183.1	886841.7				782.36	100.2	100.4	79.8	74.018	55.2	45.12	38.59	160.0				101.6	3.8	59.4	70.539	77.39
200311	75823.3	1202.1	895668.3				796.18	100.3	100.4	78.7	74.074	53.0	42.64	36.07	157.42				102.3	3.9	59.4	70.413	77.74
200312	81483.3	1192.6	899481.8		448.7		810.71	100.6	100.5	80.8	73.21	54.5	45.66	38.25	157.13				102.8	3.7	59.7	70.73	78.25
200401	84318.3	1173.7	900001.8	792296403.0	441.45		848.5	100.9	100.7	79.6	72.154	51.3	40.2	33.16	157.1				103.0	3.5	60.2	71.172	79.32
200402	89368.3	1176.2	907172.8	839061274.0	428.68		883.42	101.4	101.0	82.7	73.35	58.4	44.55	35.94	156.8				103.0	3.5	60.5	71.487	80.31
200403	94403.3	1146.6	913480.8	674189932.0	434.16		880.5	101.6	101.1	80.6	74.596	56.5	49.92	39.97	155.66				102.6	3.5	60.4	72.181	81.08
200404	95211.5	1173.3	915889.2	977132712.0	453.47		862.84	101.6	101.2	81.1	72.829	55.7	49.23	39.34	153.75				102.1	3.6	60.2	72.181	81.47
200405	97811.5	1160.1	923429.4	756996501.0	400.92		803.84	101.2	100.8	81.5	73.202	56.1	49.34	38.99	153.41				101.3	3.7	59.8	72.119	81.67
200406	101611.5	1155.5	925036.3	555531965.0	385.18		785.79	101.0	100.5	78.5	75.179	56.7	48.2	37.8	152.55				100.5	3.5	59.9	72.119	81.59
200407	104341.5	1170.0	930641.8	450771375.0	331.21		735.34	100.5	100.1	77.9	75.782	55.2	48.89	38.29	152.75				99.5	3.8	59.7	72.561	81.92
200408	108121.5	1153.0	940205.5	478555746.0	355.66		803.57	100.1	99.8	78.6	76.037	57.5	46.09	35.56	152.72				98.6	3.7	59.5	73.191	82.64
200409	113041.6	1151.8	948552.5	528041009.0	362.08		835.09	99.9	99.8	78.8	74.559	58.1	48.85	36.9	152.04				97.9	3.7	60.1	73.191	82.98
200410	115211.3	1119.6		430245850.0	357.04		834.84	99.9	99.8	78.3	74.052	55.6	52.97	39.6	153.98				97.4	3.7	60.1	73.191	83.01
200411	119491.3	1048.2		442597397.0	373.43		878.06	99.7	99.6	80.3	74.752	55.2	53.52	39.39	152.16				97.3	3.8	59.9	72.75	83.07
200412	123061.3	1035.1		655632199.0	380.33		895.92	99.3	99.5	79.8	77.725	53.3	52.84	38.87	151.92				97.8	3.8	60.3	72.877	82.46
200501	129921.3	1025.6		1517526426.0	472.95	2308722688.0	932.7	99.1	99.3	82.7	75.342	59.1	50.28	37.54	151.56				99.0	3.8	60.0	73.594	83.26
200502	132951.3	1006.0		1731935665.0	498.38	3135787646.0	1011.36	98.9	99.6	78.8	77.162	57.2	45.47	32.69	149.97				100.5	3.6	60.0	73.892	83.42
200503	136104.2	1015.5		1251248431.0	455.03	3034243377.0	965.68	99.0	100.1	81.1	76.405	56.3	56.48	40.48	147.7				102.2	3.6	60.2	74.338	83.5
200504	139739.2	997.1		951741539.0	424.4	2126680255.0	911.3	98.8	100.2	78.9	78.909	56.8	52.46	37.6	143.41				103.6	3.7	59.9	74.413	83.73
200505	144859.2	1007.7		1354544909.0	471.48	1781052012.0	970.21	98.8	99.9	76.6	79.194	57.9	52.97	38.41	140.31				104.9	3.7	59.9	74.338	83.19
200506	149979.2	1025.4		1932378236.0	503.21	2450501477.0	1008.16	98.7	99.5	77.6	75.636	59.9	54.87	40.61	139.09				106.0	3.8	59.9	74.114	82.81
200507	151449.2	1026.8		1974494871.0	546.68	3431083340.0	1111.29	98.6	99.6	77.1	76.052	62.6	54.29	40.36	137.84				107.0	3.8	59.8	74.413	83.32
200508	153549.1	1038.5		1652377869.0	503.95	3062536269.0	1083.33	98.6	99.8	77.7	74.103	57.8	53.61	39.94	137.4				107.9	3.7	59.7	74.636	83.55
200509	158699.2	1041.1		1497154574.0	571.95	3718034384.0	1221.01	98.5	99.9	78.2	75.901	58.0	56.61	42.0	134.82				108.9	4.0	59.7	75.008	83.92
200510	162449.2	1040.2		2189859629.0	587.46	3796543478.0	1158.11	98.5	99.9	80.4	73.936	60.5	58.13	43.12	133.78				109.9	3.9	59.8	74.859	84.14
200511	166289.2	1033.5		2516003890.0	712.39	4198417771.0	1297.44	99.1	100.1	83.0	71.285	61.6	60.56	45.42	134.86				110.9	3.6	59.9	74.561	83.9
200512	170475.2	1011.6		2908241182.0	701.79	4786351740.0	1379.37	99.5	100.5	80.3	73.383	63.5	58.65	44.83	134.82				111.7	3.6	59.9	74.785	83.66
200601	173015.2	964.6		2767398234.0	690.24	5764974901.0	1399.83	99.8	100.9	82.6	71.534	63.2	53.99	41.38	133.84				112.2	3.4	60.2	75.231	83.95
200602	178995.2	970.9		2208538818.0	682.36	4314643070.0	1371.59	99.7	101.0	82.1	76.088	65.3	53.67	40.71	131.81				112.4	3.5	60.1	75.381	83.99
200603	182482.3	971.6		1881506569.0	665.21	3396915531.0	1359.6	99.9	100.8	81.4	77.05	66.0	61.75	46.98	130.4				112.2	3.5	60.1	75.827	83.88
200604	187209.8	943.4		2017587690.0	685.44	4111860060.0	1419.73	99.9	100.6	79.8	77.827	66.7	57.84	44.17	129.95				111.8	3.5	60.0	75.902	84.03
200605	192940.1	945.6		1623513040.0	630.5	3814477431.0	1317.7	100.0	100.5	79.6	76.844	67.6	62.21	47.05	127.0				111.1	3.4	60.0	76.05	84.32
200606	198383.4	948.9		1173516972.0	590.68	3038809503.0	1295.15	99.8	100.1	78.6	78.202	62.9	62.88	47.09	124.15				110.5	3.5	60.0	75.902	84.17
200607	202116.4	955.2		1132440757.0	557.66	2560375956.0	1297.82	99.1	99.5	72.6	82.302	63.9	59.1	44.23	124.54				109.9	3.5	59.9	76.199	84.43
200608	206677.4	961.5		1266979956.0	572.83	2680536488.0	1352.74	99.0	99.0	78.6	75.939	69.1	63.09	46.95	123.1				109.4	3.5	59.9	76.645	84.98
200609	204135.4	946.2		1593460555.0	600.42	2849126764.0	1371.41	99.4	99.3	81.7	75.592	69.2	70.13	51.79	123.06				109.2	3.5	59.9	76.868	85.26
200610	204025.4	942.3		1588480257.0	586.1	2912133801.0	1364.55	100.3	99.7	82.7	73.002	69.1	63.52	46.94	126.1				109.1	3.6	59.9	76.496	84.47
200611	204196.4	929.5		1675865731.0	622.17	2984881764.0	1432.21	100.8	100.0	82.5	73.599	70.2	69.63	52.04	126.49				109.2	3.5	60.1	76.125	84.06
200612	206798.4	929.8		1859185865.0	606.15	2792073714.0	1434.46	100.9	99.9	79.2	75.92	69.3	65.45	49.13	125.73				109.5	3.4	60.2	76.348	83.99
200701	209569.8	941.0		1769707917.0	576.37	2582501187.0	1360.23	100.9	100.0	80.6	77.489	72.8	63.31	47.59	124.16				110.0	3.3	60.3	76.496	83.99
200702	214447.8	941.8		1808284634.0	600.93	3353641271.0	1417.34	101.0	100.2	80.1	75.944	74.9	60.14	45.89	125.48				110.9	3.1	60.3	77.017	84.04
200703	214540.8	940.9		2051682809.0	648.99	3149139880.0	1452.55	101.1	100.3	79.8	76.835	71.2	69.16	53.01	123.2				112.1	3.2	60.3	77.464	84.4
200704	217728.7	930.8		2277337273.0	675.88	4472297898.0	1542.24	101.3	100.4	80.4	75.208	74.9	67.9	51.86	120.65				113.4	3.3	60.2	77.761	84.99
200705	220146.7	927.7		1868500171.0	747.87	5060726750.0	1700.91	101.4	100.6	80.3	74.74	70.7	68.61	51.63	119.48				114.7	3.3	60.1	77.836	85.47
200706	223652.1	923.8		2518816999.0	778.69	7316801417.0	1743.6	101.3	101.0	79.1	76.226	70.0	69.61	52.13	118.84				115.9	3.3	60.1	77.836	85.64
200707	226360.7	919.3		2119094975.0	811.52	7629429713.0	1933.27	101.4	101.4	77.8	73.632	68.0	71.22	53.23	119.36				116.7	3.3	60.1	78.134	85.75
200708	230460.7	938.3		2036430115.0	775.13	6189490662.0	1873.24	101.5	101.5	79.7	74.346	71.2	71.9	53.22	119.46				117.1	3.3	60.0	78.208	85.7
200709	224082.7	915.1		2138573170.0	794.56	5669445490.0	1946.48	101.3	101.5	78.6	74.115	65.8	68.14	50.63	119.59				116.9	3.3	60.0	78.655	86.11
200710	224390.7	900.7		2283546885.0	810.07	8236418977.0	2064.85	101.6	101.4	83.1	72.256	70.0	80.06	59.28	117.44				116.3	3.3	60.0	78.803	86.29
200711	225991.3	921.1		1764779161.0	741.84	7290704164.0	1906.0	101.8	101.5	82.7	70.996	74.2	80.9	59.38	115.33				115.2	3.3	60.1	78.803	86.64
200712	227373.3	936.1		1789508996.0	704.23	5295404612.0	1897.13	102.2	101.5	81.3	72.363	75.8	73.92	53.47	112.71				113.8	3.2	60.1	79.101	86.99
200801	233321.3	943.9		1572125372.0	608.84	5506422742.0	1624.68	102.5	101.1	83.4	73.071	73.0	73.86	53.83	111.25				112.2	3.0	60.2	79.472	87.48
200802	237755.3	939.0		1426905176.0	655.94	4688595999.0	1711.62	102.5	100.6	81.2	75.928	72.2	69.26	50.2	110.11				110.2	2.9	60.1	79.771	88.29
200803	234083.3	990.4		1301332246.0	644.45	4818747917.0	1703.99	102.4	100.2	82.4	74.961	71.6	82.18	58.91	108.71				108.1	3.0	60.0	80.515	89.44
200804	238382.3	1002.6		1457658807.0	647.02	5732962154.0	1825.47	102.0	100.0	82.9	76.568	74.2	84.54	59.16	106.96				105.6	3.1	60.0	80.962	91.34
200805	241768.3	1030.1		1353845060.0	652.15	5966084629.0	1852.02	101.8	99.7	79.8	78.851	71.5	85.03	58.46	105.48				102.9	3.1	59.9	81.63	93.18
200806	242829.3	1046.0		1341702947.0	590.19	4665795082.0	1674.92	101.2	99.3	79.4	83.206	71.2	84.2	56.74	102.37				99.7	3.2	59.8	82.151	94.67
200807	244331.3	1012.2		1267339669.0	539.44	4763335992.0	1594.67	100.9	98.9	77.8	80.595	72.8	91.76	60.76	100.57				96.2	3.2	59.8	82.747	96.52
200808	247551.3	1089.0		1035551136.0	470.28	3833566918.0	1474.24	100.7	98.5	77.5	82.284	72.8	80.78	53.16	99.02				92.1	3.3	59.6	82.598	96.24
200809	232130.3	1207.0		1091054643.0	440.77	5556089457.0	1448.06	100.6	98.3	76.5	83.804	69.2	82.86	56.54	101.29				87.6	3.2	59.5	82.673	95.85
200810	232548.3	1291.0		874188166.0	308.03	5867955118.0	1113.06	100.3	97.9	79.1	86.435	68.6	80.76	57.45	103.14				83.0	3.3	59.5	82.598	95.59
200811	236630.3	1469.0		1017097375.0	307.48	5584304700.0	1076.07	99.6	97.4	70.1	93.479	62.7	61.14	47.37	106.2				79.1	3.4	59.5	82.375	93.37
200812	239290.3	1259.5		1231699935.0	332.05	5223060030.0	1124.47	98.5	97.2	62.7	95.217	59.9	54.19	45.29	110.51				76.6	3.4	59.3	82.375	91.8
200901	245358.3	1379.5		1299070147.0	364.9	4637338820.0	1162.11	97.7	97.0	62.8	91.28	52.6	45.73	39.44	112.92				76.0	3.3	59.1	82.45	91.54
200902	251250.3	1534.0		1704018022.0	363.21	4515043982.0	1063.03	97.6	97.5	68.7	83.711	59.5	51.85	45.36	111.55				77.4	3.3	58.9	83.045	92.16
200903	254695.3	1383.5		1648187431.0	421.44	4968139561.0	1206.26	97.6	97.9	70.5	80.276	56.6	58.49	51.8	112.37				80.6	3.6	58.7	83.64	92.59
200904	262680.3	1282.0		2910948455.0	500.98	7748810993.0	1369.36	97.8	99.1	73.2	75.654	57.9	62.35	55.38	113.21				85.2	3.7	58.7	83.862	92.7
200905	269125.3	1255.0		3139253838.0	528.8	7761258945.0	1395.89	97.8	99.7	73.3	73.485	60.9	59.31	51.51	115.39				90.4	3.9	58.5	83.862	91.99
200906	261998.3	1273.9		2148243372.0	485.15	5486029318.0	1390.07	98.4	100.5	75.9	70.238	64.0	65.4	55.78	113.92				95.7	3.9	59.0	83.788	91.75
200907	269507.3	1228.5		2013190211.0	504.35	5584893806.0	1557.29	98.6	100.6	76.9	68.821	61.7	69.75	58.59	110.42				100.6	3.8	58.7	84.086	92.8
200908	276447.3	1248.9		2528182515.0	514.7	6854850070.0	1591.85	98.7	100.8	76.5	70.705	61.0	64.78	54.03	111.0				104.8	3.8	58.8	84.384	93.33
200909	283594.3	1178.1		2398991989.0	505.94	7486380854.0	1673.14	98.9	101.0	79.6	69.411	71.9	74.78	61.15	109.08	104.0	89.0	102.0	108.3	3.7	58.9	84.459	93.42
200910	286727.3	1182.5		1755756353.0	486.46	5608220438.0	1580.69	99.1	101.5	78.2	69.359	65.4	74.32	60.87	108.91	110.0	92.0	106.0	110.8	3.6	58.8	84.235	92.67
200911	289277.3	1162.8		1619219735.0	464.32	4156400225.0	1555.6	99.2	102.1	78.9	69.036	71.1	74.57	60.68	107.12	105.0	88.0	103.0	112.6	3.7	58.7	84.384	92.99
200912	280853.3	1164.5		1997258357.0	513.57	4655864186.0	1682.77	99.1	102.4	79.4	68.869	72.3	78.8	63.41	105.31	101.0	88.0	105.0	113.9	3.6	58.5	84.682	93.46
201001	290314.3	1161.8		3240628832.0	496.57	6153237122.0	1602.43	99.3	102.6	79.7	73.819	73.4	70.94	56.0	108.03	114.0	90.0	108.0	114.7	4.6	58.3	85.351	93.87
201002	298510.4	1160.0		2268822492.0	507.03	4047188580.0	1594.58	99.8	102.4	80.0	75.74	78.5	69.42	54.66	106.7	119.0	94.0	113.0	115.3	4.0	58.4	85.523	94.03
201003	304790.4	1131.3		2289951309.0	515.74	4329068950.0	1692.85	100.2	102.1	80.8	73.656	79.5	83.67	65.52	108.51	124.0	100.0	123.0	115.6	3.7	58.6	85.696	94.47
201004	309688.4	1108.4		1858065078.0	523.75	5684745822.0	1741.56	100.4	101.9	81.0	73.55	78.6	86.26	66.57	107.41	115.0	95.0	121.0	115.9	3.6	59.0	86.041	95.16
201005	315045.0	1202.5		2101731079.0	489.42	6270911850.0	1641.25	100.8	102.0	80.6	72.576	71.8	84.86	65.63	104.81	121.0	104.0	122.0	116.1	3.2	59.2	86.128	95.96
201006	305320.0	1222.2		1659100995.0	489.98	5065175950.0	1698.29	100.9	102.0	80.7	71.786	78.7	87.66	68.67	104.1	116.0	97.0	113.0	116.2	3.5	59.1	86.041	96.07
201007	310402.6	1182.7		1515708187.0	481.45	5563520901.0	1759.33	101.1	101.9	80.9	72.313	78.4	88.53	70.02	104.75	119.0	96.0	115.0	116.1	3.8	59.2	86.214	96.31
201008	314242.1	1198.1		1487595265.0	464.71	5034247282.0	1742.75	100.7	101.7	78.9	73.059	84.0	83.64	66.57	104.4	114.0	97.0	111.0	115.9	3.5	59.0	86.647	96.6
201009	318488.6	1140.2		1504431130.0	492.75	6041004929.0	1872.81	100.3	101.4	79.2	74.152	83.8	85.49	67.96	102.48	124.0	95.0	112.0	115.4	3.8	58.8	87.337	97.16
201010	318671.7	1125.3		1856914300.0	526.45	6545581019.0	1882.95	99.8	100.9	80.4	74.576	83.6	94.69	74.94	101.62	116.0	94.0	105.0	114.9	3.7	58.9	87.337	97.52
201011	319852.7	1159.7		1866208153.0	498.39	6703180304.0	1904.63	99.9	100.9	80.6	73.175	80.6	93.09	72.87	100.54	110.0	93.0	107.0	114.2	3.3	58.8	86.906	97.85
201012	310076.7	1134.8		1565085131.0	510.69	5996517298.0	2051.0	100.2	100.7	82.4	74.277	81.9	96.64	75.03	99.55	113.0	91.0	110.0	113.4	3.7	59.0	87.251	98.76
201101	316940.7	1121.5		2287167872.0	521.38	7670743888.0	2069.73	100.9	101.1	84.0	69.959	81.7	92.72	71.79	97.4	110.0	92.0	110.0	112.6	3.5	58.5	88.288	100.28
